date,name,product,amount
2020-02-24,서천군수산업협동조합,멸치,83887
2020-02-25,서천군수산업협동조합,멸치,83887
2020-02-26,서천군수산업협동조합,멸치,83887
2020-02-27,서천군수산업협동조합,멸치,83887
2020-02-28,서천군수산업협동조합,멸치,83887
2020-02-29,서천군수산업협동조합,멸치,83887
2020-03-01,서천군수산업협동조합,멸치,83887
2020-03-02,서천군수산업협동조합,멸치,80522
2020-03-03,서천군수산업협동조합,멸치,80522
2020-03-04,서천군수산업협동조합,멸치,80522
2020-03-05,서천군수산업협동조합,멸치,80199
2020-03-06,서천군수산업협동조합,멸치,80199
2020-03-07,서천군수산업협동조합,멸치,80879
2020-03-08,서천군수산업협동조합,멸치,80879
2020-03-09,서천군수산업협동조합,멸치,80479
2020-03-10,서천군수산업협동조합,멸치,80479
2020-03-11,서천군수산업협동조합,멸치,79783
2020-03-12,서천군수산업협동조합,멸치,78857
2020-03-13,서천군수산업협동조합,멸치,78857
2020-03-14,서천군수산업협동조합,멸치,75382
2020-03-15,서천군수산업협동조합,멸치,75382
2020-03-16,서천군수산업협동조합,멸치,74480
2020-03-17,서천군수산업협동조합,멸치,73846
2020-03-18,서천군수산업협동조합,멸치,73846
2020-03-19,서천군수산업협동조합,멸치,71396
2020-03-20,서천군수산업협동조합,멸치,70596
2020-03-21,서천군수산업협동조합,멸치,70596
2020-03-22,서천군수산업협동조합,멸치,70596
2020-03-23,서천군수산업협동조합,멸치,62777
2020-03-24,서천군수산업협동조합,멸치,62257
2020-03-25,서천군수산업협동조합,멸치,62213
2020-03-26,서천군수산업협동조합,멸치,62189
2020-03-27,서천군수산업협동조합,멸치,61639
2020-03-28,서천군수산업협동조합,멸치,61639
2020-03-29,서천군수산업협동조합,멸치,61639
2020-03-30,서천군수산업협동조합,멸치,60761
2020-03-31,서천군수산업협동조합,멸치,58821
2020-04-01,서천군수산업협동조합,멸치,58821
2020-04-02,서천군수산업협동조합,멸치,58821
2020-04-03,서천군수산업협동조합,멸치,58395
2020-04-04,서천군수산업협동조합,멸치,58395
2020-04-05,서천군수산업협동조합,멸치,58395
2020-04-06,서천군수산업협동조합,멸치,55349
2020-04-07,서천군수산업협동조합,멸치,55040
2020-04-08,서천군수산업협동조합,멸치,55040
2020-04-09,서천군수산업협동조합,멸치,55040
2020-04-10,서천군수산업협동조합,멸치,55040
2020-04-11,서천군수산업협동조합,멸치,55040
2020-04-12,서천군수산업협동조합,멸치,55040
2020-04-13,서천군수산업협동조합,멸치,55040
2020-04-14,서천군수산업협동조합,멸치,54520
2020-04-15,서천군수산업협동조합,멸치,54520
2020-04-16,서천군수산업협동조합,멸치,54520
2020-04-17,서천군수산업협동조합,멸치,54520
2020-04-18,서천군수산업협동조합,멸치,54520
2020-04-19,서천군수산업협동조합,멸치,54520
2020-04-20,서천군수산업협동조합,멸치,51083
2020-04-21,서천군수산업협동조합,멸치,48844
2020-04-22,서천군수산업협동조합,멸치,48844
2020-04-23,서천군수산업협동조합,멸치,48590
2020-04-24,서천군수산업협동조합,멸치,48590
2020-04-25,서천군수산업협동조합,멸치,48190
2020-04-26,서천군수산업협동조합,멸치,48190
2020-04-27,서천군수산업협동조합,멸치,47250
2020-04-28,서천군수산업협동조합,멸치,43568
2020-04-29,서천군수산업협동조합,멸치,42768
2020-04-30,서천군수산업협동조합,멸치,42768
2020-05-01,서천군수산업협동조합,멸치,42768
2020-05-02,서천군수산업협동조합,멸치,39064
2020-05-03,서천군수산업협동조합,멸치,39064
2020-05-04,서천군수산업협동조합,멸치,39052
2020-05-05,서천군수산업협동조합,멸치,39052
2020-05-06,서천군수산업협동조합,멸치,39052
2020-05-07,서천군수산업협동조합,멸치,38912
2020-05-08,서천군수산업협동조합,멸치,38272
2020-05-09,서천군수산업협동조합,멸치,38272
2020-05-10,서천군수산업협동조합,멸치,38272
2020-05-11,서천군수산업협동조합,멸치,37872
2020-05-12,서천군수산업협동조합,멸치,37049
2020-05-13,서천군수산업협동조합,멸치,37049
2020-05-14,서천군수산업협동조합,멸치,37049
2020-05-15,서천군수산업협동조합,멸치,37049
2020-05-16,서천군수산업협동조합,멸치,33434
2020-05-17,서천군수산업협동조합,멸치,33434
2020-05-18,서천군수산업협동조합,멸치,33434
2020-05-19,서천군수산업협동조합,멸치,33434
2020-05-20,서천군수산업협동조합,멸치,33434
2020-05-21,서천군수산업협동조합,멸치,33404
2020-05-22,서천군수산업협동조합,멸치,33404
2020-05-23,서천군수산업협동조합,멸치,33404
2020-05-24,서천군수산업협동조합,멸치,33404
2020-05-25,서천군수산업협동조합,멸치,33404
2020-05-26,서천군수산업협동조합,멸치,33404
2020-05-27,서천군수산업협동조합,멸치,33404
2020-05-28,서천군수산업협동조합,멸치,33404
2020-05-29,서천군수산업협동조합,멸치,32886
2020-05-30,서천군수산업협동조합,멸치,32886
2020-05-31,서천군수산업협동조합,멸치,32886
2020-06-01,서천군수산업협동조합,멸치,32886
2020-06-02,서천군수산업협동조합,멸치,32766
2020-06-03,서천군수산업협동조합,멸치,32761
2020-06-04,서천군수산업협동조합,멸치,32468
2020-06-05,서천군수산업협동조합,멸치,32068
2020-06-06,서천군수산업협동조합,멸치,32068
2020-06-07,서천군수산업협동조합,멸치,32068
2020-06-08,서천군수산업협동조합,멸치,29279
2020-06-09,서천군수산업협동조합,멸치,28576
2020-06-10,서천군수산업협동조합,멸치,27719
2020-06-11,서천군수산업협동조합,멸치,26949
2020-06-12,서천군수산업협동조합,멸치,26949
2020-06-13,서천군수산업협동조합,멸치,26949
2020-06-14,서천군수산업협동조합,멸치,26949
2020-06-15,서천군수산업협동조합,멸치,26549
2020-06-16,서천군수산업협동조합,멸치,24513
2020-06-17,서천군수산업협동조합,멸치,23416
2020-06-18,서천군수산업협동조합,멸치,23356
2020-06-19,서천군수산업협동조합,멸치,22417
2020-06-20,서천군수산업협동조합,멸치,22417
2020-06-21,서천군수산업협동조합,멸치,22417
2020-06-22,서천군수산업협동조합,멸치,24610
2020-06-23,서천군수산업협동조합,멸치,24160
2020-06-24,서천군수산업협동조합,멸치,25818
2020-06-25,서천군수산업협동조합,멸치,25818
